web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11,month,Sentiment
1556501460-17986,https://twitter.com/search?l=&q=immigration%20since%3A2018-10-25%20until%3A2018-10-29&src=typd&lang=en,@roycan79,Candace,REPUBLICAN VOTERS: We OWE President Trump MAJORITIES in BOTH Houses of Congress! He can't move forward with his agenda UNLESS he has BOTH HOUSES. And 'We the People' MUST deliver for him! You want the WALL? IMMIGRATION reform? Additional 10% TAX CUT for middle class? #VOTERED2018pic.twitter.com/6TlxyRiEBx,12,157,192,1540589088000,2:24 PM - 26 Oct 2018,/roycan79/status/1055933286130900992,,October,neutral
1556501460-17938,https://twitter.com/search?l=&q=immigration%20since%3A2018-10-25%20until%3A2018-10-29&src=typd&lang=en,@IrvingHdzDLT,Irving Hernandez,This is not a Blue Wave but a Wave of Hope. For me as a #DACA recipient it is important to have champions in Washington fighting for a Clean Dream Act and comprehensive immigration reform . Thank you @MikeLevinCA for being a champion!pic.twitter.com/PBzdL4r767,2,49,191,1540618391000,10:33 PM - 26 Oct 2018,/IrvingHdzDLT/status/1056056190919106560,,October,positive
1556501460-17931,https://twitter.com/search?l=&q=immigration%20since%3A2018-10-25%20until%3A2018-10-29&src=typd&lang=en,@UlricShannon,Ulric Shannon  🇨🇦,"Very good article summarizing why Canada is becoming a top destination for international students:

Foreign students transforming Canada’s schools, immigration /via @globeandmailhttps://www.theglobeandmail.com/politics/article-foreign-students-transforming-canadas-schools-immigration/?utm_medium=Referrer:+Social+Network+/+Media&utm_campaign=Shared+Web+Article+Links …",1,14,26,1540625739000,12:35 AM - 27 Oct 2018,/UlricShannon/status/1056087010132271104,,October,positive
1556501460-17690,https://twitter.com/search?l=&q=immigration%20since%3A2018-10-25%20until%3A2018-10-29&src=typd&lang=en,@POTUSPress,POTUS Press ✩  🇺🇸,FACT CHECK: Did Hungary Reduce Illegal Immigration By 99 Percent With A Border Wall? http://checkyourfact.com/2018/10/28/fact-check-hungary-99-percent-border-wall/ … via @check_yourfact,,13,13,1540764967000,3:16 PM - 28 Oct 2018,/POTUSPress/status/1056670976484745217,,October,negative
1556501460-17844,https://twitter.com/search?l=&q=immigration%20since%3A2018-10-25%20until%3A2018-10-29&src=typd&lang=en,@FoxNewsInsider,FoxNewsInsider,"Border Walls Are 'Just Wrong'?! @TomiLahren Asks People in California About Migrant Caravan, Illegal Immigration @seanhannityhttp://insider.foxnews.com/2018/10/25/tomi-lahren-asks-people-california-about-migrant-caravan-illegal-immigration-hannity …",197,147,511,1540670084000,12:54 PM - 27 Oct 2018,/FoxNewsInsider/status/1056273009546280960,,October,negative
1556501460-18004,https://twitter.com/search?l=&q=immigration%20since%3A2018-10-25%20until%3A2018-10-29&src=typd&lang=en,@DrDavidDuke,David Duke,"Thank God for the Fake News Media proving once again how EVIL ""White People are!"" This guy proves why we have to ethnically cleanse white people from the United States with mass immigration folks like Cesar who would never ever commit a crime or do bad things. Thanks ZioMedia!",6,24,118,1540579029000,11:37 AM - 26 Oct 2018,/DrDavidDuke/status/1055891097719836672,,October,negative
1556501460-17685,https://twitter.com/search?l=&q=immigration%20since%3A2018-10-25%20until%3A2018-10-29&src=typd&lang=en,@AndyFillmoreHFX,"Andy Fillmore, MP","Beautiful celebration of multilingualism organized by #Halifax Immigration Partnership at @hfxpublib. Take a walk through our city & it won't take long to hear we are a community of many languages.

Special thanks for the card featuring my name spelled in Arabic!
@MikeSavageHFXpic.twitter.com/65vaoo8IW7",,4,14,1540766285000,3:38 PM - 28 Oct 2018,/AndyFillmoreHFX/status/1056676504887873538,,October,positive
1556501460-17959,https://twitter.com/search?l=&q=immigration%20since%3A2018-10-25%20until%3A2018-10-29&src=typd&lang=en,@ChrisJZullo,♻️ 🇺🇸 Christopher Zullo,"Support @KathyManningNC for #NC13. She will fight for the people, not the 1%. She is strong on creating jobs, funding education, protecting the environment, fixing healthcare, passing immigration reform and protecting Medicare and Social Security",17,24,196,1540603485000,6:24 PM - 26 Oct 2018,/ChrisJZullo/status/1055993670309154816,,October,positive
1556501460-18409,https://twitter.com/search?l=&q=immigration%20since%3A2018-10-25%20until%3A2018-10-29&src=typd&lang=en,@GBAFReview,Global Banking & Finance Review,Why The World Needs More Global Citizens? https://www.globalbankingandfinance.com/why-the-world-needs-more-global-citizens/ … #world #global #citizens #immigration #nationpic.twitter.com/ft4O4NptJq,,,,1540425600000,5:00 PM - 24 Oct 2018,/GBAFReview/status/1055247569394253825,,October,positive
1556501460-18289,https://twitter.com/search?l=&q=immigration%20since%3A2018-10-25%20until%3A2018-10-29&src=typd&lang=en,@CindyBegel,Cindy Begel,"The Republicans have controlled Congress since Jan 2017. So THEY are in charge of passing immigration laws. You know your base doesn't know that. There's no National Emergency, just people with families who aren't sneaking in but following legal asylum laws to escape violence.",29,19,188,1540481103000,8:25 AM - 25 Oct 2018,/CindyBegel/status/1055480362908991488,,October,negative
1556501460-18175,https://twitter.com/search?l=&q=immigration%20since%3A2018-10-25%20until%3A2018-10-29&src=typd&lang=en,@LindaSuhler,"Linda Suhler, PhD","Marsha Blackburn: I Will ‘Stop Illegal Immigration’; Bredesen Wants Illegal Aliens to Campaign for Him

VOTE BLACKBURN AND VOTE STRAIGHT REPUBLICAN!

#TNSen #VoteBlackburnTN #AmericaFirst #SecureTheBorder #BuildTheWallhttp://bit.ly/2RfG6QB",4,125,159,1540513231000,5:20 PM - 25 Oct 2018,/LindaSuhler/status/1055615117478420481,,October,negative
1556501460-17708,https://twitter.com/search?l=&q=immigration%20since%3A2018-10-25%20until%3A2018-10-29&src=typd&lang=en,@ChaplainDM,Daniel McKay,"So, he's a good reason for not allowing illegal immigration. He was deported for a reason and he should remain deported--period. Secure the borders, enforce the law and remove all U. S. aid to countries creating this mess. Legal immigration--yes; illegal immigration--no.",2,17,88,1540756768000,12:59 PM - 28 Oct 2018,/ChaplainDM/status/1056636588581707779,,October,positive
1556501460-18245,https://twitter.com/search?l=&q=immigration%20since%3A2018-10-25%20until%3A2018-10-29&src=typd&lang=en,@kylejack,Kyle Jack,"Yes, all persons are allowed to submit an asylum application. Their asylum application is considered by the immigration court, when it is determined if they have a credible fear of returning to their country, and whether they themselves are criminals. That's the system working.",6,11,296,1540493659000,11:54 AM - 25 Oct 2018,/kylejack/status/1055533027772768257,,October,positive
1556501460-17983,https://twitter.com/search?l=&q=immigration%20since%3A2018-10-25%20until%3A2018-10-29&src=typd&lang=en,@TNGOP,TNGOP,"“Tennesseans want their next Senator to stand firm against illegal immigration, work with President Trump to build the wall, support ICE and law enforcement agents, and stop sanctuary cities"" #TNSenhttps://dailycaller.com/2018/10/26/marsah-blackburn-phil-bredesen-migrant-caravan/ …",63,91,180,1540589777000,2:36 PM - 26 Oct 2018,/TNGOP/status/1055936177205846019,,October,negative
1556501460-18035,https://twitter.com/search?l=&q=immigration%20since%3A2018-10-25%20until%3A2018-10-29&src=typd&lang=en,@RadioBuhari,Radio Buhari,"The New Port Harcourt International Airport.

24 check-in counters.

28,000sqm of floor.

16 immigration points at departure.

7 million passengers expected.

Completed and commissioned by President @MBuhari on Thursday, 25th October, 2018.pic.twitter.com/t9cHs0FGQX",1,39,59,1540569825000,9:03 AM - 26 Oct 2018,/RadioBuhari/status/1055852490783158272,,October,positive
1556501460-18192,https://twitter.com/search?l=&q=immigration%20since%3A2018-10-25%20until%3A2018-10-29&src=typd&lang=en,@Swamp_Fever2020,❌ Sherri  ❌,"Let's go Tennessee!!!
Let your voices be heard!!!Marsha Blackburn is the person for the job!!!

#VoteDemsOut2018 
#VoteRedToSaveAmerica Exclusive -- Marsha Blackburn: I Will ‘Stop Illegal Immigration’ https://www.breitbart.com/politics/2018/10/25/marsha-blackburn-will-stop-illegal-immigration-bredesen-wants-illegal-aliens-campaign-him/ … via @BreitbartNews",2,135,125,1540508770000,4:06 PM - 25 Oct 2018,/Swamp_Fever2020/status/1055596407904706562,,October,negative
