web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11,month,Sentiment
1556483330-5144,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en,@Tactical_review,Tactical-reviews.com,"Why do cities with like Chicago or LA that have very strict #guncontrol have such high #gun murder rates?

Because criminals bring #guns from states with lax gun laws?

Than how come those states don't have high #firearm murder rates?

#liberallogic #LiberalismIsAMentalDisorderpic.twitter.com/6FDmislBNE",1,14,32,1522642087000,9:08 PM - 1 Apr 2018,/Tactical_review/status/980658107662643200,,April,positive
1556483330-4987,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en,@joshtpm,Josh Marshall,DC Officials Slam Rubio For Hypocritical Attempt To Gut Strict Gun Control Laws https://talkingpointsmemo.com/news/dc-officials-criticize-rubio-gun-control-laws … via @TPM,3,36,68,1522770310000,8:45 AM - 3 Apr 2018,/joshtpm/status/981195915125051393,,April,neutral
1556483330-4905,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en,@BenjiBacker,Benji Backer,"Strict California gun laws?
Strict company (YouTube) gun rules?
Shooting prevented?

The debate on gun control needs to dive far deeper than the oversimplified and media-friendly gun control demands.",4,19,50,1522793931000,3:18 PM - 3 Apr 2018,/BenjiBacker/status/981294987835928576,,April,positive
1556483330-5054,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en,@Lrihendry,Lori Hendry,"There are five cities in America that have most of the killings in the entire country, all run by liberals. Theoretically all five have gun control! #2A",27,378,685,1522714430000,5:13 PM - 2 Apr 2018,/Lrihendry/status/980961535810994176,,April,positive
1556483330-4860,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en,@TeaPartyBison,TeaParty Bison  🇺🇸 🐍,"YouTube HQ

Amazing how in a gun free zone, in anti-gun California, still managed to have an active shooter

it's almost like gun control and gun-free zones don't work",1,3,11,1522797396000,4:16 PM - 3 Apr 2018,/TeaPartyBison/status/981309520336080901,,April,positive
1556483330-5236,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en,@HireMeImFunny,Orli Matlow,“Gun control won’t stop gun violence.” -person who insists that bans on abortion ends abortions,3,29,101,1522561373000,10:42 PM - 31 Mar 2018,/HireMeImFunny/status/980319568370585600,,April,neutral
1556483330-4928,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en,@SafetyPinDaily,SafetyPin-Daily,"Gun Control Advocates Hope Parkland Students Have Started A Movement, Not A Moment | via HuffPostPol
https://www.huffingtonpost.com/entry/march-for-our-lives-long-term-movement-midterm_us_5ac23a1ce4b0f112dc9dd7a4?ncid=engmodushpmg00000004 …",1,39,56,1522791861000,2:44 PM - 3 Apr 2018,/SafetyPinDaily/status/981286307283513344,,April,neutral
1556483330-5267,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en,@victoriaxxviii,Cloacal Kiss  💋,I keep seeing liberals saying the right is losing the gun control debate bc they don't have any coherent arguments against it and hm no I'm pretty sure they're winning because everyone still has their guns. It's like the main liberal malfunction,4,22,294,1522543457000,5:44 PM - 31 Mar 2018,/victoriaxxviii/status/980244426441273344,,April,positive
1556483330-5176,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en,@hoganhere,Kelly Hogan,this crazy awesome project came about as a response to gun violence & a plea for gun control ***24 years ago*** #JesusChristSuperstarhttps://twitter.com/annhornaday/status/980516756690292738 …,5,11,44,1522615060000,1:37 PM - 1 Apr 2018,/hoganhere/status/980544750104309761,,April,positive
1556483330-5148,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en,@CHIZMAGA,🇺🇸 CHIZ,"George Clooney is offering $500,000, of which he earned starring in Gun Violence movies, towards a Gun Control March?...

The hypocrisy in Hollywood is over the top outrageous. 

https://www.reuters.com/article/us-florida-shooting-clooney/clooney-winfrey-spielberg-offer-500000-each-for-gun-control-march-idUSKCN1G42HY …",12,56,82,1522637943000,7:59 PM - 1 Apr 2018,/CHIZMAGA/status/980640726861008897,,April,negative
1556483330-4918,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en,@gr8tjude_08,🦅 ⭐️ 🦅Hey Jude  ⭐️ ⭐️ ⭐️,State of California has the strictest gun control in the country! Not going to work Nancy- if someone wants to shoot ppl they will get a gun! If all the guns in the USA were confiscated they will still be able to get one-so get off it!! http://www.thegatewaypundit.com/2018/04/here-we-go-nancy-pelosi-calls-for-gun-control-after-active-shooter-reported-at-youtube-headquarters/ …,159,654,1.0K,1522792885000,3:01 PM - 3 Apr 2018,/gr8tjude_08/status/981290599302287361,,April,positive
1556483330-5171,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en,@michaelmalice,Michael Malice,i would gladly replace the gun control crowd with American people https://twitter.com/dyoung8005/status/980565998460792832 …,7,17,100,1522620216000,3:03 PM - 1 Apr 2018,/michaelmalice/status/980566375424020480,,April,positive
