web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,
"1556485398-7589","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@BrexitParadise","Brexit Paradise EX TORY VOTER #FBPE","That isn't the point Piers. Trump is right. Our knife crime is out of control by our standards. Let's not make it acceptable just because it is less than American gun crime deaths. It is a 'bloody war zone' and we need to deal with it. ASAP. The odd policeman or two might help?","23","5","183","1525473212000","3:33 PM - 4 May 2018","/BrexitParadise/status/992532705832292352","null"
"1556485398-7637","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@business","Bloomberg","Donald Trump embraces the NRA, abandoning a flirtation with gun control https://bloom.bg/2KAPqvJ pic.twitter.com/EuEDBwbj7g","5","18","21","1525433781000","4:36 AM - 4 May 2018","/business/status/992367321262981126","null"
"1556485398-7651","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@SavingAmerica4U","Saving America","But yet, the mayor came up with $100K to bus students to a gun control march. Balance your budget, get your priorities straight. Heat and a/c come before making innocent kids your political puppets. https://twitter.com/WMAR2News/status/992084754810986498 …","1","17","33","1525402112000","7:48 PM - 3 May 2018","/SavingAmerica4U/status/992234492621357056","null"
"1556485398-7285","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@Stuthefarmer","Stuart Somerville","If gun control legislation does little, if anything, to stop gun crime (not an unreasonable point) why have any laws at all? 

I mean, murder and theft are both criminal acts, but murders and thefts continue whether the law treats them harshly or not.","3","2","6","1525883726000","9:35 AM - 9 May 2018","/Stuthefarmer/status/994254527351046144","null"
"1556485398-7751","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@maydaymindy9","Mayday Mindy  🌊","Hey Richard
Welcome to the #TheResistance2018 and the @TheDemocrats Party...
 Questions:
Please Post / Tweet your views & position on:
1.) Healthcare
2.) Gun Control
3.) Medicare / Medicaid 
4.) Abortion
5.) Torture
Thank you, Mindy
@RWPUSA @RWPMinnesota @RWPMinnesota","10","38","69","1525213385000","3:23 PM - 1 May 2018","/maydaymindy9/status/991442912838934528","null"
"1556485398-7418","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@marcuschown","Marcus Chown","""Gun crime out of control. Police massively cut. No connection."" Just writing Theresa May's speech for tomorrow.","4","41","54","1525716428000","11:07 AM - 7 May 2018","/marcuschown/status/993552827984343041","null"
"1556485398-7594","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@PatrickSvitek","Patrick Svitek",".@TedCruz says gun control advocates have ""conscripted two national banks (Bank of America and Citigroup) to cut off anyone who doesn't comply with their anti-gun left-wing agenda."" To those put off by that, Cruz adds, ""let me invite you: Come to Texas."" #NRAAM2018","4","34","36","1525468598000","2:16 PM - 4 May 2018","/PatrickSvitek/status/992513353972113408","null"
"1556485398-7437","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@WashTimes","The Washington Times","Bold Illinois ‘sanctuary’ counties buck state on gun control  - https://go.shr.lc/2FT9Cp4  - @washtimes","","5","9","1525688719000","3:25 AM - 7 May 2018","/WashTimes/status/993436609692471296","null"
"1556485398-7412","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@SaMarinaflo","Marisa","How do you teach a 4 yr old to ”control their emotions”?Their brains aren’t equipped for that (or logical thinking) at that stage of development, which is why they often throw tantrums cause they CAN’T control their emotions and they get frustrated. And you wanna give them a gun?","1","1","101","1525724638000","1:23 PM - 7 May 2018","/SaMarinaflo/status/993587264256135169","null"
"1556485398-7420","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@APgun_sketch","Assault Paper","#GunControl comes from people without guns who want people with guns to punish gun owners for having guns bc the guns are out of control.

I tried to wrap my mind around it, but to do so requires that I become a leftist and hate myself for being me.

#LooneyTunesLeftism pic.twitter.com/pCRHNtf4aL","5","15","25","1525716069000","11:01 AM - 7 May 2018","/APgun_sketch/status/993551321805524992","null"
"1556485398-7778","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@foggybreeze","everything is not awesome","Not getting dragged into the black hole of whcd. These ppl are warped and I refuse to give space to their twisted values. Let's move on to some real issues like DACA, gun control and elections 2018 (oh yea and our democracy dying a slow death).","","","1","1525133819000","5:16 PM - 30 Apr 2018","/foggybreeze/status/991109189375275010","null"
"1556485398-7624","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@RevDrBarber","Rev. Dr. Barber","Yesterday @POTUS claimed to love prayer while some religious leaders played court chaplain, despite his unjust policies. Today he goes to speak at NRA & bless the very group that is fighting gun control & banning assault weapons ban.","24","448","1.3K","1525445693000","7:54 AM - 4 May 2018","/RevDrBarber/status/992417286412734464","null"
"1556485398-7400","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@nypost","New York Post","David Hogg is postponing college to push gun control https://nyp.st/2KHUOgN pic.twitter.com/92FPRNqkj0","141","26","107","1525740963000","5:56 PM - 7 May 2018","/nypost/status/993655737564966913","null"
"1556485398-7342","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@Patriot261","Patriot26","5 IL Counties Declare Themselves 'Sanctuary Counties' for Gun Owners

“‘Sanctuary county’ indicates employees of that respective county will be instructed to ignore gun control laws rather than enforce them”

#WednesdayWisdom #2A #ShallNotBeInfringedhttp://bit.ly/2K5LSAQ","7","97","149","1525864428000","4:13 AM - 9 May 2018","/Patriot261/status/994173585836199941","null"
"1556485398-7449","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@knecht_katie","katie","a list of things that make u really cute and quirky: 
- acknowledging basic human rights
- understanding the lgbtq+ community & supporting them
- supporting miniorities & immigrants 
- calling for gun control 
- speaking up for what you believe in 
- voting 
just some suggestions","","5","26","1525658683000","7:04 PM - 6 May 2018","/knecht_katie/status/993310628654796801","null"
"1556485398-7721","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@darksecretplace","Bryan Suits (Not California Compliant)","To be clear, I don't like students #WalkingOut for ""common sense gun control,"" and I don't like students #WalkingOut for the 2nd Amendment.
The best way to support the Constitution is to learn about the Constitution.","12","43","220","1525283837000","10:57 AM - 2 May 2018","/darksecretplace/status/991738411496034304","null"
"1556485398-7471","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@theblaze","TheBlaze","Dallas restaurant receives death threats for placing gun control message on receipts http://bit.ly/2FMkc17","24","12","15","1525626025000","10:00 AM - 6 May 2018","/theblaze/status/993173649732653063","null"
"1556485398-7749","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@Texas_Boy_FCS1","F.C.S.   🇺🇸 🇺🇸 🇺🇸","Finally, a gun control measure I can completely support!  pic.twitter.com/Nqg9gWLFWJ","34","244","449","1525217804000","4:36 PM - 1 May 2018","/Texas_Boy_FCS1/status/991461447346671616","null"
"1556485398-7457","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@chicksonright","Chicks On The Right","But but but...I thought there was common sense gun control there.  Halp? https://twitter.com/KTHopkins/status/993234518789296128 …","3","6","50","1525645029000","3:17 PM - 6 May 2018","/chicksonright/status/993253361402118149","null"
"1556485398-7556","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@BigFatDave","less fat Dave","Why don't you come and take mine, Kevin?

Seriously. Come and take it. I dare you.

Warning, the barrel will be hot, and that shiny thing under it is sharp.

#GunSense = #GunControl + nonsense

No more compromise with gun grabbing scum. https://twitter.com/KevinSc86173352/status/992251829080670208 …","","9","15","1525511262000","2:07 AM - 5 May 2018","/BigFatDave/status/992692299673944064","null"
"1556485398-7748","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@OurRev305","OurRev305 #ElectTheBern","YUGE congrats to Javier Fernandez @Javier4Florida, Miami-Dade’s newest State Representative. Javier pledged to protect public school funding & be strong on gun control. #OurRev305 #Miami  #HD114 #ElectionResults #ElectionDay #NeverAgain #GunControl #Gunsense #Educationpic.twitter.com/ittI9k4Rk0","5","16","20","1525219903000","5:11 PM - 1 May 2018","/OurRev305/status/991470253929631751","null"
"1556485398-7316","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@RepHastingsFL","Alcee L. Hastings","I just led a letter with the Democratic Florida Delegation to the Florida State Legislature advising them to repeal the firearm preemption law so that local communities can implement sensible gun control measures. pic.twitter.com/lNzjTWNHOu","4","8","24","1525893967000","12:26 PM - 9 May 2018","/RepHastingsFL/status/994297480153108480","null"
"1556485398-7703","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@scrowder","Steven Crowder","Wonderful => Dick's Sporting Goods Hired Gun Lobbyists to Push for Gun Control https://www.louderwithcrowder.com/dicks-sporting-goods-gun-lobbyists/ … pic.twitter.com/wqKD1zt9fK","101","131","368","1525302000000","4:00 PM - 2 May 2018","/scrowder/status/991814593876934657","null"
"1556485398-7583","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@cleflore23","UR a Smart Ass, Carl","Oh shut up kid, no one is scared of you.  The #NRA membership has grown since your little movement started. 

The media has all but forgotten about you. #2A #GunSense #guncontrol https://twitter.com/davidhogg111/status/992537656956420097 …","9","11","49","1525477882000","4:51 PM - 4 May 2018","/cleflore23/status/992552295652102144","null"
"1556485398-7442","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@RealSaavedra","Ryan Saavedra","Multiple rural Illinois counties have passed resolutions establishing a so-called “sanctuary” for gun owners in a bid to thwart the state legislature’s efforts to enact stricter gun control. http://www.foxnews.com/politics/2018/05/07/illinois-counties-form-sanctuaries-for-gun-owners-to-thwart-states-push-for-gun-control.html …","2","76","150","1525674696000","11:31 PM - 6 May 2018","/RealSaavedra/status/993377792229232640","null"
"1556485398-7358","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@MCGAMELIA","daphne blake","yes rihanna looked good but did she sharpie ‘gun control’ on her stomach","","4","33","1525816170000","2:49 PM - 8 May 2018","/MCGAMELIA/status/993971175935172608","null"
