web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,
"1556400703-927","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@EachStarAWorld","Tara Sim ★･ﾟ*｡☆","Give us gun control give us gun control give us gun control give us gun control give us gun control give us gun control give us gun control give us gun control give us gun control give us gun control give us gun control give us gun control give us gun control give us gun control","2","34","88","1518642713000","1:11 PM - 14 Feb 2018","/EachStarAWorld/status/963883517045227521","null"
"1556400703-1010","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@coachestribune","Coaches Tribune","Coaches!  

Nine (9) Leadership Lessons from Nick Saban:

* Adapt and Adjust
* Stick to your Guns
* Dress for Success 
* Take Control
* Stay Focused 
* Be Relentless and Prepared
* Surround Yourself with the ""RIGHT"" People
* Use Your Leverage
* Details!

#rolltide #coachestribunepic.twitter.com/w7dk6awGPk","","19","28","1518628700000","9:18 AM - 14 Feb 2018","/coachestribune/status/963824741919481859","null"
"1556400703-760","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@jamescharles","James Charles","just heard about the school shooting in florida and my heart is broken  my heart goes out to everyone affected. this is why we need stricter gun control laws","447","1.8K","16K","1518646771000","2:19 PM - 14 Feb 2018","/jamescharles/status/963900540546502656","null"
"1556400703-717","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@TraceySpicer","Tracey Spicer","No words. Except for these two - #guncontrol https://twitter.com/buzzfeednews/status/963898085494611968 …","5","13","56","1518647918000","2:38 PM - 14 Feb 2018","/TraceySpicer/status/963905349160902656","null"
"1556400703-436","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@MattStout07","Matt Stout","How about instead of ""sending thoughts and prayers"" you actually do something... You know... Presidential.... and create some #GunControl laws?? 

Asking For a few billion people. https://twitter.com/realDonaldTrump/status/963878055969198080 …","59","276","782","1518652568000","3:56 PM - 14 Feb 2018","/MattStout07/status/963924854444609536","null"
"1556400703-674","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@DevinSenaUI","Devin Sena","Gun control is not a solution to a problem with the heart. #GunControlNow","8","29","144","1518648782000","2:53 PM - 14 Feb 2018","/DevinSenaUI/status/963908974394437632","null"
"1556400703-461","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@ApocalypticaNow","Apocalyptica","About 3000 people died on 9/11. In response, the government created a vast, secretive surveillance state and invaded two countries. 

Per BBC, 13,286 people died from gun violence in 2015 alone. Republicans won't even allow floor debates on bipartisan gun control bills.","","7","13","1518652725000","3:58 PM - 14 Feb 2018","/ApocalypticaNow/status/963925513457815552","null"
"1556400703-1037","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@ErvGotti_","Official ✊🏾","Now they gone talk even more about the gun violence in Chicago and how we need gun control","","","","1518567479000","4:17 PM - 13 Feb 2018","/ErvGotti_/status/963567962371305474","null"
"1556400703-464","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@DaShanneStokes","Dr. DaShanne Stokes","Trump 1/23/16: ""I could stand in the middle of 5th Avenue and shoot somebody and I wouldn't lose voters.""

Trump 2/14/18: ""I'm totally opposed to domestic violence.""

https://www.cnn.com/2018/02/14/politics/domestic-violence-donald-trump/index.html …

https://www.cnn.com/2016/01/23/politics/donald-trump-shoot-somebody-support/index.html …

#robporter #resist #trump #WednesdayWisdom #guncontrol","5","15","22","1518652664000","3:57 PM - 14 Feb 2018","/DaShanneStokes/status/963925255168446464","null"
"1556400703-466","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@prfctIysab","bec 184","I woke up to another school shooting ?? When will America learn. My country had a mass shooting and since gun control we haven’t had one since. This is the same with other countries. America get gun control NOW, no one should have to lose their life at school #guncontrol","","1","4","1518652721000","3:58 PM - 14 Feb 2018","/prfctIysab/status/963925494927278081","null"
