web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11,month,Sentiment
1556481244-2255,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en,@eshap,(((evan shapīro))),"“Ok sweetie, have a good day at school. Be sure to be nice to the Gym Coach & Librarian today - they’re both armed to the teeth and SUPER underpaid.” 

FL Sen. @BillGalvano wants to arm librarians, gym teachers & guidance counselors. What could possibly go wrong‽

#GunControl https://twitter.com/nytnational/status/970997451950870530 …",9,16,40,1520340413000,4:46 AM - 6 Mar 2018,/eshap/status/971004189500375040,,March,positive
1556481244-2397,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en,@BosPublicRadio,Boston Public Radio,.@RepJoeKennedy joins us on the line to talk about gun control reform in the wake of the Parkland shooting: https://www.wgbh.org/audioPlayers/wgbh.cfm …,4,68,185,1520271206000,9:33 AM - 5 Mar 2018,/BosPublicRadio/status/970713912147660800,,March,neutral
1556481244-2138,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en,@just10gorham,Justin Gorham,California Democrat And Gun Control Advocate Charged With Arms Trafficking. #QAnon https://www.forbes.com/sites/gregorymcneal/2014/03/27/california-democrat-and-gun-control-advocate-charged-with-arms-trafficking/#59f31ae4660a …,2,22,20,1520386493000,5:34 PM - 6 Mar 2018,/just10gorham/status/971197459815903232,,March,neutral
1556481244-2067,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en,@JeremyCFox,Jeremy C. Fox,Cambridge and Somerville students are chanting “We need more gun control.” pic.twitter.com/B161dQqBEL – at Union Square,1,22,41,1520433858000,6:44 AM - 7 Mar 2018,/JeremyCFox/status/971396123226263552,,March,positive
1556481244-2318,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en,@WEdwarda,Ava- I love my USA!,"JUST IN: INCREDIBLE FATHER OF PARKLAND VICTIM: ""Gun Control Doesn't Work"" [Video] https://100percentfedup.com/just-incredible-father-parkland-victim-gun-control-doesnt-work-video/ … via @100percFEDUP",,15,21,1520298758000,5:12 PM - 5 Mar 2018,/WEdwarda/status/970829474186104833,,March,positive
1556481244-2045,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en,@the_wing,The Wing,"WOMEN-CRUSHING-IT-WEDNESDAY 
Emma González (@Emma4Change), a survivor of the Parkland Florida shootings and leader in the student movement to push for gun control on a state and federal level, has solidified her place in history (and she has more followers than the NRA). pic.twitter.com/QBwfEfIUgo",,17,122,1520445016000,9:50 AM - 7 Mar 2018,/the_wing/status/971442924998324227,,March,positive
1556481244-2123,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en,@kenameri1,AmeriKen  🇺🇸 🇺🇸,"California’s Champion Of Gun Control, Sen. Leland Yee, heading to prison for weapons trafficking, accepting bribes, and extorting money. And MSM is silent! https://joeforamerica.com/2018/02/democrat-scandal-senator-yee-prison-gun-trafficking/ …",18,172,167,1520395831000,8:10 PM - 6 Mar 2018,/kenameri1/status/971236629074661376,,March,neutral
1556481244-2132,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en,@67sanmartin,St Martin,How about this? Same Anti-NRA stupidity who push for gun control even for hunters who hunt for food pic.twitter.com/isZh7FnB5z,14,46,90,1520389790000,6:29 PM - 6 Mar 2018,/67sanmartin/status/971211291313561600,,March,negative
1556481244-2277,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en,@Thomas1774Paine,Mike 'Thomas Paine' Moore,Oscars: Celebrities Push Gun Control Surrounded by a Wall of 500 Rifle-Wielding SWAT Officers - http://ow.ly/YrAU30iLWlg,6,79,120,1520320503000,11:15 PM - 5 Mar 2018,/Thomas1774Paine/status/970920679251042306,,March,neutral
1556481244-2135,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en,@Noahpinion,Noah Smith  🐇,"Maybe the reason we never got gun control before was that there wasn't a permanent activist class pushing the issue.

And maybe now there is. https://twitter.com/RectorSun/status/971081951544270848 …",8,32,128,1520389045000,6:17 PM - 6 Mar 2018,/Noahpinion/status/971208166552748033,,March,neutral
