web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11,month,Sentiment
1556485398-7589,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en,@BrexitParadise,Brexit Paradise EX TORY VOTER #FBPE,That isn't the point Piers. Trump is right. Our knife crime is out of control by our standards. Let's not make it acceptable just because it is less than American gun crime deaths. It is a 'bloody war zone' and we need to deal with it. ASAP. The odd policeman or two might help?,23,5,183,1525473212000,3:33 PM - 4 May 2018,/BrexitParadise/status/992532705832292352,,May,negative
1556485398-7637,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en,@business,Bloomberg,"Donald Trump embraces the NRA, abandoning a flirtation with gun control https://bloom.bg/2KAPqvJ pic.twitter.com/EuEDBwbj7g",5,18,21,1525433781000,4:36 AM - 4 May 2018,/business/status/992367321262981126,,May,neutral
1556485398-7651,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en,@SavingAmerica4U,Saving America,"But yet, the mayor came up with $100K to bus students to a gun control march. Balance your budget, get your priorities straight. Heat and a/c come before making innocent kids your political puppets. https://twitter.com/WMAR2News/status/992084754810986498 …",1,17,33,1525402112000,7:48 PM - 3 May 2018,/SavingAmerica4U/status/992234492621357056,,May,positive
1556485398-7285,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en,@Stuthefarmer,Stuart Somerville,"If gun control legislation does little, if anything, to stop gun crime (not an unreasonable point) why have any laws at all? 

I mean, murder and theft are both criminal acts, but murders and thefts continue whether the law treats them harshly or not.",3,2,6,1525883726000,9:35 AM - 9 May 2018,/Stuthefarmer/status/994254527351046144,,May,negative
1556485398-7751,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en,@maydaymindy9,Mayday Mindy  🌊,"Hey Richard
Welcome to the #TheResistance2018 and the @TheDemocrats Party...
 Questions:
Please Post / Tweet your views & position on:
1.) Healthcare
2.) Gun Control
3.) Medicare / Medicaid 
4.) Abortion
5.) Torture
Thank you, Mindy
@RWPUSA @RWPMinnesota @RWPMinnesota",10,38,69,1525213385000,3:23 PM - 1 May 2018,/maydaymindy9/status/991442912838934528,,May,positive
1556485398-7418,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en,@marcuschown,Marcus Chown,"""Gun crime out of control. Police massively cut. No connection."" Just writing Theresa May's speech for tomorrow.",4,41,54,1525716428000,11:07 AM - 7 May 2018,/marcuschown/status/993552827984343041,,May,neutral
1556485398-7594,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en,@PatrickSvitek,Patrick Svitek,".@TedCruz says gun control advocates have ""conscripted two national banks (Bank of America and Citigroup) to cut off anyone who doesn't comply with their anti-gun left-wing agenda."" To those put off by that, Cruz adds, ""let me invite you: Come to Texas."" #NRAAM2018",4,34,36,1525468598000,2:16 PM - 4 May 2018,/PatrickSvitek/status/992513353972113408,,May,neutral
1556485398-7437,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en,@WashTimes,The Washington Times,Bold Illinois ‘sanctuary’ counties buck state on gun control  - https://go.shr.lc/2FT9Cp4  - @washtimes,,5,9,1525688719000,3:25 AM - 7 May 2018,/WashTimes/status/993436609692471296,,May,positive
1556485398-7412,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en,@SaMarinaflo,Marisa,"How do you teach a 4 yr old to ”control their emotions”?Their brains aren’t equipped for that (or logical thinking) at that stage of development, which is why they often throw tantrums cause they CAN’T control their emotions and they get frustrated. And you wanna give them a gun?",1,1,101,1525724638000,1:23 PM - 7 May 2018,/SaMarinaflo/status/993587264256135169,,May,negative
1556485398-7420,https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en,@APgun_sketch,Assault Paper,"#GunControl comes from people without guns who want people with guns to punish gun owners for having guns bc the guns are out of control.

I tried to wrap my mind around it, but to do so requires that I become a leftist and hate myself for being me.

#LooneyTunesLeftism pic.twitter.com/pCRHNtf4aL",5,15,25,1525716069000,11:01 AM - 7 May 2018,/APgun_sketch/status/993551321805524992,,May,negative
