web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11,month,Sentiment
1556493184-10606,https://twitter.com/search?l=&q=immigration%20since%3A2018-09-01%20until%3A2018-09-05&src=typd&lang=en,@abcnews,ABC News,"""There’s nothing I’ve ever said or ever done that has encouraged racism in any way at all."" @Nigel_Farage says his stance on immigration has nothing to do with race. Full interview with @bevvo14 tonight on #TheWorld, 10pmAEST.pic.twitter.com/tdtphiKqDo",89,29,61,1536047095000,12:44 AM - 4 Sep 2018,/abcnews/status/1036882786114789376,,September,positive
1556493184-10876,https://twitter.com/search?l=&q=immigration%20since%3A2018-09-01%20until%3A2018-09-05&src=typd&lang=en,@ddale8,Daniel Dale,"Yet another Trump administration hire has been found by journalists to have made bigoted remarks about Muslims. This one, a senior Army figure, was slated to become deputy director of Citizenship and Immigration Services until BuzzFeed found his web posts. https://www.buzzfeednews.com/article/hamedaleaziz/top-immigration-uscis-anti-muslim-facebook …",49,1.2K,1.7K,1535850622000,6:10 PM - 1 Sep 2018,/ddale8/status/1036058721871429632,,September,neutral
1556493184-10753,https://twitter.com/search?l=&q=immigration%20since%3A2018-09-01%20until%3A2018-09-05&src=typd&lang=en,@RAZ0RFIST,RazörFist,Watching the media find new and creative ways to avoid mentioning a criminal's immigration status is my new favorite pastime. https://twitter.com/CBSNews/status/1036320491093585921 …,8,79,302,1535939105000,6:45 PM - 2 Sep 2018,/RAZ0RFIST/status/1036429843758366720,,September,positive
1556493184-10709,https://twitter.com/search?l=&q=immigration%20since%3A2018-09-01%20until%3A2018-09-05&src=typd&lang=en,@BreitbartLondon,Breitbart London,Swiss Study Reveals Immigration Produces Long Term Economic Harm  https://www.breitbart.com/london/2018/09/03/swiss-study-reveals-immigration-produces-long-term-economic-harm/ …,18,113,147,1535974200000,4:30 AM - 3 Sep 2018,/BreitbartLondon/status/1036577044103143424,,September,positive
1556493184-10899,https://twitter.com/search?l=&q=immigration%20since%3A2018-09-01%20until%3A2018-09-05&src=typd&lang=en,@CatlinNyaa,Michelle Catlin,"Trump: Puts immigration restriction on muslim majority countries

Democrats: Bigot! Nazi! Literally Hitler! Inhumane!

McCain: Bombs those same countries killing thousands

Democrats: Brave! Patriot! War hero! Wish I could smell his farts!

#McCainMemorial",2,55,187,1535832089000,1:01 PM - 1 Sep 2018,/CatlinNyaa/status/1035980988424351755,,September,neutral
1556493184-10842,https://twitter.com/search?l=&q=immigration%20since%3A2018-09-01%20until%3A2018-09-05&src=typd&lang=en,@zerohedge,zerohedge,Italy And Hungary Create 'Anti-Immigration Axis' https://www.zerohedge.com/news/2018-09-01/italy-and-hungary-create-anti-immigration-axis …,6,108,242,1535886002000,4:00 AM - 2 Sep 2018,/zerohedge/status/1036207113159233536,,September,neutral
1556493184-10659,https://twitter.com/search?l=&q=immigration%20since%3A2018-09-01%20until%3A2018-09-05&src=typd&lang=en,@BethLindstrom,Beth Lindstrom,"Common-sense, bipartisan immigration reform is within reach. But it has to start from the obvious principle that we are a nation of laws and we enforce our laws. My approach: https://patch.com/massachusetts/boston/i-will-go-work-massachusetts …pic.twitter.com/VumjEz3sjU",4,25,72,1535996420000,10:40 AM - 3 Sep 2018,/BethLindstrom/status/1036670241105956866,,September,neutral
1556493184-10741,https://twitter.com/search?l=&q=immigration%20since%3A2018-09-01%20until%3A2018-09-05&src=typd&lang=en,@TheDailyEdge,The Daily Edge,Companies Say Trump Is Hurting Business by Limiting Legal Immigration #TrumpSlumphttps://nyti.ms/2MMX7UI,12,115,155,1535948612000,9:23 PM - 2 Sep 2018,/TheDailyEdge/status/1036469718402695174,,September,positive
1556493184-10667,https://twitter.com/search?l=&q=immigration%20since%3A2018-09-01%20until%3A2018-09-05&src=typd&lang=en,@thetypicalmalay,Burhan Speechwriter,"Immigration officer: Come with how many people?

Me: Three including me.

I.O: Wah, friends?

Me: No no, family. Imouto to itoko desu.

I.O: Ah! *starts speaking really fast Japanese*

Me: *fuck I didn't think this through*",18,318,524,1535991792000,9:23 AM - 3 Sep 2018,/thetypicalmalay/status/1036650829296496641,,September,positive
1556493184-10648,https://twitter.com/search?l=&q=immigration%20since%3A2018-09-01%20until%3A2018-09-05&src=typd&lang=en,@booksfortopics,BooksForTopics (Alison),"NEW! Here is our community booklist on the topic 'Refugees & Immigration': https://www.booksfortopics.com/refugees-and-immigration …
 Thank you so much to the teachers, TAs, authors and librarians who contributed to this list by recommending texts.pic.twitter.com/2pKddpsz6P",9,80,116,1536006738000,1:32 PM - 3 Sep 2018,/booksfortopics/status/1036713517624315904,,September,positive
